"","idno","stfdem","cntry","SatEcon","incpart","Female","AgeResp","Unemp","Religiosity","SocTrust","LRSP","IncDec","YearsEdu","Crtsame","fairelcc","cttresa","fairelc","gvexpdc","Poverty","Inequality"
"15930",644,5,"IT",6,0,1,17,0,5,5.66666666666667,0,4,10,5,5,10,5,6,1.4142135623731,0
"15931",2815,8,"IT",3,0,1,55,0,8,6,5,5,23,10,10,10,10,10,0.707106781186548,3.53553390593274
"15932",1621,8,"IT",0,0,1,66,0,10,6.66666666666667,5,1,5,10,10,10,9,10,0,0
"15933",1322,4,"IT",5,0,2,98,0,9,4.33333333333333,5,3,5,5,4,5,5,8,2.12132034355964,1.4142135623731
"15934",905,4,"IT",2,0,2,49,0,9,3.66666666666667,5,2,2,3,5,9,6,8,1.4142135623731,1.4142135623731
"15935",2112,4,"IT",3,0,1,55,0,1,7.33333333333333,2,8,20,8,3,10,10,10,7.07106781186548,7.07106781186548
"15936",2989,7,"IT",5,1,2,27,1,7,6.66666666666667,3,3,20,4,6,10,10,10,2.82842712474619,2.12132034355964
"15937",1387,3,"IT",0,0,2,26,0,10,1.33333333333333,9,1,11,5,0,10,7,10,7.07106781186548,7.07106781186548
"15938",432,6,"IT",4,0,2,63,0,10,2,5,6,12,0,10,10,10,10,7.07106781186548,7.07106781186548
"15939",579,4,"IT",3,0,2,26,0,3,6,7,1,13,3,5,10,6,10,4.94974746830583,4.94974746830583
"15940",1454,3,"IT",3,0,1,31,0,5,3.66666666666667,5,10,11,3,4,10,8,10,4.24264068711928,2.82842712474619
"15941",1833,5,"IT",4,0,1,61,0,5,4.66666666666667,7,4,5,5,9,8,10,8,3.53553390593274,2.12132034355964
"15942",443,5,"IT",5,0,2,70,0,5,3.33333333333333,10,2,5,6,8,10,10,10,7.07106781186548,7.07106781186548
"15943",2155,2,"IT",2,0,1,27,0,8,6.33333333333333,7,5,13,3,3,10,7,10,4.24264068711928,3.53553390593274
"15944",3055,8,"IT",2,1,1,76,0,8,5.33333333333333,4,3,10,6,9,10,10,10,4.24264068711928,4.94974746830583
"15945",1296,4,"IT",2,0,2,55,0,3,4.66666666666667,1,7,18,5,3,10,10,10,4.94974746830583,4.94974746830583
"15946",2901,3,"IT",0,0,2,34,0,7,3.66666666666667,5,4,13,0,5,10,7,10,7.07106781186548,6.36396103067893
"15947",1829,3,"IT",5,0,1,67,0,4,5,7,7,13,5,8,8,10,7,3.53553390593274,2.12132034355964
"15948",3062,5,"IT",3,0,2,59,0,7,4.33333333333333,8,7,13,5,10,10,10,10,3.53553390593274,4.94974746830583
"15949",1191,3,"IT",2,0,1,22,0,2,5.33333333333333,3,3,13,0,5,10,9,10,6.36396103067893,5.65685424949238
"15950",641,6,"IT",6,0,2,83,0,6,6.66666666666667,5,6,30,3,5,8,5,7,1.4142135623731,0.707106781186548
"15951",1978,7,"IT",6,0,2,45,0,8,6,10,1,10,3,6,10,10,10,4.24264068711928,4.24264068711928
"15952",2721,4,"IT",5,0,2,26,1,6,4.33333333333333,8,1,13,5,6,8,7,9,1.4142135623731,0.707106781186548
"15953",438,8,"IT",0,0,1,70,0,6,4,6,1,8,10,10,10,10,10,0,7.07106781186548
"15954",1828,6,"IT",5,0,1,70,0,9,8.33333333333333,7,4,13,6,5,9,8,9,1.4142135623731,0.707106781186548
"15955",113,5,"IT",3,0,1,68,0,8,5,10,8,17,4,8,8,8,10,1.4142135623731,2.82842712474619
